name,adoption_release,afv_mean_open_bugs_no_cd,afv_mean_open_bugs_cd,afv_median_open_bugs_no_cd,afv_median_open_bugs_cd
nifi,nifi-1.0.0,37.75,89.5,38.0,88.5
kylin,kylin-1.5.4.1-HBase1.x,30.35,45.55555555555556,22.0,57.0
struts,STRUTS_2_5_4,34.195402298850574,10.0,26.0,9.0
storm,v1.1.0,40.38095238095238,51.9,18.0,20.5
opennlp,opennlp-1.7.2,17.875,4.8,12.0,5.0
commons-compress,1.14,12.166666666666666,9.6875,10.0,9.0
httpcomponents-core,4.4.11,4.944444444444445,4.8,4.0,2.5
manifoldcf,release-2.7.1,20.878048780487806,6.6,20.0,6.0
curator,apache-curator-4.2.0,11.0,8.25,11.0,5.0
httpcomponents-client,4.5.4,15.86111111111111,7.642857142857143,14.0,6.5
commons-lang,LANG_3_6,23.7,7.5,19.5,7.5
commons-dbcp,DBCP_2_3_0,23.333333333333332,3.75,23.0,3.0
streams,streams-project-0.4-incubating,3.0,1.6666666666666667,3.0,2.0
commons-configuration,CONFIGURATION_2_2,22.0,5.333333333333333,16.5,7.0
qpid-jms,0.53.0,5.447368421052632,2.8666666666666667,3.5,1.0
cayenne,4.0.M5,36.970588235294116,23.333333333333332,24.0,22.0
tez,release-0.9.0,20.565217391304348,14.5,11.0,9.5
commons-bcel,BCEL_6_2,25.0,10.0,34.0,10.0
parquet-mr,apache-parquet-1.8.2,15.666666666666666,6.428571428571429,8.0,3.0
pdfbox,2.0.11,86.61764705882354,74.66666666666667,58.5,71.0
commons-jcs,commons-jcs-2.1,13.142857142857142,4.5,7.0,4.5
