name,no_CD_mean,CD_mean,no_CD_median,CD_median
nifi,68.0,82.0,49.5,90.0
kylin,43.04347826086956,62.72727272727273,19.0,47.0
struts,23.046511627906977,6.882352941176471,12.0,4.0
storm,71.14285714285714,32.1,51.5,10.5
opennlp,24.5,12.0,24.5,7.0
commons-compress,6.407407407407407,7.0,6.0,7.0
httpcomponents-core,6.8076923076923075,19.0,6.5,19.0
manifoldcf,16.15625,11.714285714285714,13.0,11.0
curator,5.344827586206897,10.333333333333334,0.0,5.0
httpcomponents-client,22.59259259259259,16.25,22.0,15.5
commons-lang,14.115384615384615,12.333333333333334,2.0,14.0
commons-dbcp,8.85,5.666666666666667,0.0,3.0
streams,24.4,9.0,16.0,9.0
commons-configuration,16.0,10.0,10.0,10.0
qpid-jms,4.75,1.5555555555555556,3.5,2.0
cayenne,31.095238095238095,17.25,25.0,12.0
tez,94.9375,56.0,77.0,56.0
commons-bcel,19.0,11.0,0.0,11.0
parquet-mr,11.32258064516129,113.0,0.0,113.0
pdfbox,23.5,1.5263157894736843,23.5,0.0
commons-jcs,2.5217391304347827,5.0,0.0,5.0
