name,cd_adoption_date,mean_delta_bugs_no_cd_min,mean_delta_bugs_cd_min,median_delta_bugs_no_cd_min,median_delta_bugs_cd_min
nifi,2016-07-12 22:50:16,33749.47466125,57920.808698717934,6798.493991666666,10529.137316666667
kylin,2016-09-24 06:59:42,65420.994613562085,152773.8243865806,27824.951691666665,138637.11554166666
struts,2016-10-05 05:44:50,1736302.1350423452,116061.825925,1835386.27525,103821.95305
storm,2016-09-02 19:13:24,277553.733865342,54802.820402067184,116872.74941666667,9820.293016666667
opennlp,2017-01-20 21:58:00,97089.64388473598,20160.1952762295,1942.8986916666668,4076.5649333333336
commons-compress,2016-12-29 16:48:23,281890.5812832329,46288.4985359375,22497.658991666667,4295.365733333333
httpcomponents-core,2018-06-29 10:25:57,370815.17636658164,19820.804411979167,270374.91945833334,4037.666491666667
manifoldcf,2017-04-20 21:54:27,31668.877128165583,35845.65499779412,502.8883833333333,844.6522416666667
curator,2019-03-03 19:41:28,147568.82666390474,204256.73633645833,25359.912483333334,8933.285866666667
httpcomponents-client,2019-01-24 09:47:55,1844769.583285491,45253.989890909084,1597854.7595666666,15462.8203
commons-lang,2016-10-20 16:48:16,1235667.5694375103,153427.5041254902,626013.8219,137011.87426666668
commons-dbcp,2017-12-27 01:55:07,1536989.8720792949,70317.04657777777,1632912.3319833332,5593.545283333333
streams,2016-09-18 07:05:07,282912.46367643675,154380.90021014493,249324.88170833333,58963.9454
commons-configuration,2017-02-08 19:16:02,1035832.1339064327,148630.54135185186,919736.3666666667,73285.03271666667
qpid-jms,2020-06-03 14:22:47,167428.44026757576,55837.195634722215,104553.55503333334,20011.973491666668
cayenne,2016-12-06 14:03:41,210914.46240349274,34910.16264523808,32693.2341,10363.946883333334
tez,2017-03-14 02:13:50,147713.5120355663,116476.46545721393,117973.72611666667,119412.2582
commons-bcel,2017-09-18 08:48:36,3354963.9956566426,298814.2574333333,3911655.504766667,115807.13405
parquet-mr,2016-10-19 01:00:23,103326.51361491227,57054.8541791019,26313.08326666667,5733.2149
pdfbox,2018-06-18 19:08:34,629943.3457744451,50497.419890350866,282053.68490833335,49958.172458333334
commons-jcs,2016-12-25 20:00:58,1291845.396915079,26770.37586060605,923778.3267,17412.573633333333
commons-vfs,2018-02-24 16:19:22,1900565.5219117748,169052.508675,1501532.0951833334,128380.12573333333
airavata,2016-07-13 18:56:36,155346.74910099848,142437.44890647536,41118.37493333333,54728.23895
calcite,2017-01-03 09:38:12,92648.8379502557,99868.42853103617,50261.3401,84827.24585
freemarker,2017-11-02 15:21:49,72878.74456388889,118838.65049313725,35234.06703333333,87359.87831666667
