_id,name,commit_id,vcs_system_id,message,tagger_id,date,date_offset
5b27c648eee553716b77d004,opennlp-1.8.4,5b27c648eee553716b77d002,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.8.4
",5b27c648eee553716277d003,2017-12-21 13:28:58,-300.0
5b27c64aeee553716277d060,opennlp-1.8.3,5b27c64aeee553716277d05e,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.8.3
",5b1fa04f1837be5c9525c62f,2017-10-24 09:09:20,330.0
5b27c64aeee553716877d07b,opennlp-1.8.0,5b27c64aeee553716877d079,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.8.0
",5b27c649eee553716177d00a,2017-05-17 21:29:39,120.0
5b27c64aeee553716c77d06b,opennlp-1.8.1,5b27c64aeee553716c77d069,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.8.1
",5b1fa04f1837be5c9525c62f,2017-07-05 13:08:15,-240.0
5b27c64beee553716377d092,opennlp-1.8.2,5b27c64beee553716377d090,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.8.2
",5b27c649eee553716177d00a,2017-09-11 07:03:05,120.0
5b27c64ceee553716a77d0ea,opennlp-1.7.1,5b27c64ceee553716a77d0e8,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.7.1
",5b1fa04f1837be5c9525c62f,2017-01-20 21:58:00,-300.0
5b27c64eeee553715e77d1fb,opennlp-1.7.2,5b27c64eeee553715e77d1f9,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.7.2
",5b1fa04f1837be5c9525c62f,2017-02-01 16:03:40,-300.0
5b27c650eee553716777d2dd,opennlp-1.7.0,5b27c650eee553716777d2db,5b27c64830a71b06bceb0ead,"[maven-release-plugin] copy for tag opennlp-1.7.0
",5b27c648eee553716677d003,2016-12-31 19:33:36,-120.0
5b27c659eee553716c77d4ca,asf_migration,5b27c659eee553716c77d4c8,5b27c64830a71b06bceb0ead,"asf_migration
",58bfcfde02ca40f8bf148139,2012-02-18 03:18:58,0.0
5b27c673eee553716877e0ef,opennlp-1.6.0,5b27c673eee553716877e0ed,5b27c64830a71b06bceb0ead,"opennlp-1.6.0
",5b27c64beee553716977d12e,2014-12-10 13:25:11,0.0
5b3b31457c2cb055516a1962,4.0.M5,5b3b31447c2cb055516a1960,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 4.0.M5
",5b3b30567c2cb055496a1501,2017-02-24 07:45:37,180.0
5b3b31587c2cb055516a1a04,4.1.M1,5b3b31587c2cb055516a1a02,5b3b305530a71b06bc5bba5b,"[maven-release-plugin] copy for tag 4.1.M1
",5b3b30567c2cb055496a1501,2017-10-06 09:07:37,180.0
5b3b32287c2cb055486a237b,4.0.M4,5b3b32277c2cb055486a2379,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 4.0.M4
",5b3b31537c2cb055576a1a0f,2016-12-06 14:03:41,180.0
5b3b33297c2cb0554e6a2bd6,4.0.M2,5b3b33297c2cb0554e6a2bd4,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 4.0.M2
",5b3b32337c2cb055556a2564,2015-02-26 08:15:04,180.0
5b3b341d7c2cb055566a35ea,3.0.2,5b3b341c7c2cb055566a35e8,5b3b305530a71b06bc5bba5b,"3.0.2
",58c8dbc0fa94f2c7f0cd5b92,2011-06-11 08:41:04,0.0
5b3b34327c2cb055546a3652,3.1M1,5b3b34317c2cb055546a3650,5b3b305530a71b06bc5bba5b,"3.1M1
",58c8dbc0fa94f2c7f0cd5b92,2010-11-14 07:17:15,0.0
5b3b35657c2cb055536a43ca,4.0.M3,5b3b35657c2cb055536a43c8,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 4.0.M3
",5b3b31537c2cb055576a1a0f,2016-02-08 16:33:58,180.0
5b3b36b87c2cb055566a4fe6,3.0.1,5b3b36b87c2cb055566a4fe4,5b3b305530a71b06bc5bba5b,"3.0.1
",58c8dbc0fa94f2c7f0cd5b92,2010-08-25 18:29:23,0.0
5b3b36bc7c2cb0555a6a4fa7,3.0-final,5b3b36bb7c2cb0555a6a4fa5,5b3b305530a71b06bc5bba5b,"3.0-final
",58c8dbc0fa94f2c7f0cd5b92,2010-04-26 09:34:15,0.0
5b3b370d7c2cb055536a5384,cayenne-parent-3.1,5b3b370d7c2cb055536a5382,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag cayenne-parent-3.1
",5b3b322b7c2cb055556a2532,2014-09-20 14:03:21,180.0
5b3b373c7c2cb055486a5676,3.0M4,5b3b373c7c2cb055486a5674,5b3b305530a71b06bc5bba5b,"3.0M4
",58c8dbc0fa94f2c7f0cd5b92,2008-05-17 18:36:04,0.0
5b3b37bc7c2cb055556a5bf6,4.0.B1,5b3b37bc7c2cb055556a5bf4,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 4.0.B1
",5b3b30567c2cb055496a1501,2017-06-02 15:08:24,180.0
5b3b38137c2cb055546a5f80,cayenne-parent-3.2M1,5b3b38137c2cb055546a5f7e,5b3b305530a71b06bc5bba5b,"cayenne-parent-3.2M1
",58c8dbc0fa94f2c7f0cd5b92,2013-07-07 16:13:34,0.0
5b3b38147c2cb055556a6052,3.1.2,5b3b38147c2cb055556a6050,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 3.1.2
",5b3b30567c2cb055496a1501,2017-11-13 07:43:00,180.0
5b3b38347c2cb055556a61c7,4.0.B2,5b3b38347c2cb055556a61c5,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag 4.0.B2
",5b3b30567c2cb055496a1501,2017-09-26 09:52:05,180.0
5b3b38497c2cb055506a5f16,3.0M3,5b3b38497c2cb055506a5f14,5b3b305530a71b06bc5bba5b,"3.0M3
",5b3b342b7c2cb055496a3600,2008-01-26 00:47:38,0.0
5b3b38577c2cb0554b6a5f70,3.0M2,5b3b38577c2cb0554b6a5f6e,5b3b305530a71b06bc5bba5b,"3.0M2
",5b3b33f27c2cb055546a3316,2007-10-28 20:42:08,0.0
5b3b385f7c2cb0555a6a618d,cayenne-parent-3.1B2,5b3b385f7c2cb0555a6a618b,5b3b305530a71b06bc5bba5b,"cayenne-parent-3.1B2
",58c8dbc0fa94f2c7f0cd5b92,2013-02-05 18:35:31,0.0
5b3b38797c2cb055566a65cd,3.0M5,5b3b38797c2cb055566a65cb,5b3b305530a71b06bc5bba5b,"3.0M5
",58c8dbc0fa94f2c7f0cd5b92,2008-12-07 16:20:38,0.0
5b3b38867c2cb0555a6a62a2,3.0B1,5b3b38867c2cb0555a6a62a0,5b3b305530a71b06bc5bba5b,"3.0B1
",58c8dbc0fa94f2c7f0cd5b92,2009-11-03 18:59:35,0.0
5b3b38a17c2cb0555a6a6373,cayenne-parent-3.1.1,5b3b38a17c2cb0555a6a6371,5b3b305530a71b06bc5bba5b,"[maven-release-plugin]  copy for tag cayenne-parent-3.1.1
",5b3b31537c2cb055576a1a0f,2016-04-29 12:34:41,180.0
5b3b38c37c2cb0555a6a642f,3.1B2,5b3b38c27c2cb0555a6a642d,5b3b305530a71b06bc5bba5b,"3.1B2
",58c8dbc0fa94f2c7f0cd5b92,2013-02-05 20:15:23,0.0
5b3b38d07c2cb0554b6a66d7,3.1M2,5b3b38cf7c2cb0554b6a66d5,5b3b305530a71b06bc5bba5b,"3.1M2
",58c8dbc0fa94f2c7f0cd5b92,2011-02-21 08:55:55,0.0
5b3b38d97c2cb0555a6a64f6,3.0M6,5b3b38d97c2cb0555a6a64f4,5b3b305530a71b06bc5bba5b,"3.0M6
",58c8dbc0fa94f2c7f0cd5b92,2009-05-17 21:28:38,0.0
5b3b38d97c2cb055516a6541,3.1M3,5b3b38d97c2cb055516a653f,5b3b305530a71b06bc5bba5b,"3.1M3
",5b3b32297c2cb055556a252a,2011-09-26 07:00:59,0.0
5b3b38da7c2cb0554b6a679a,3.1B1,5b3b38da7c2cb0554b6a6798,5b3b305530a71b06bc5bba5b,"3.1B1
",58c8dbc0fa94f2c7f0cd5b92,2012-05-28 17:32:48,0.0
5b3b38db7c2cb0554b6a67ed,3.0M1,5b3b38db7c2cb0554b6a67eb,5b3b305530a71b06bc5bba5b,"3.0M1
",58c8dbc0fa94f2c7f0cd5b92,2007-07-27 22:03:54,0.0
5c87a831e84e0032bb599bab,BCEL_5_2,5c87a831e84e0032bb599ba9,5c87a755504acf99a4dbf833,"BCEL_5_2
",58bfd7ac3cff546cd3b4315f,2011-07-22 09:26:16,0.0
5c87a831e84e0032bb599bb3,BCEL_5_0,5c87a831e84e0032bb599bb1,5c87a755504acf99a4dbf833,"BCEL_5_0
",58bfd7ac3cff546cd3b4315f,2011-07-22 09:26:16,0.0
5c87a831e84e0032bb599bca,BCEL_6_1,5c87a831e84e0032bb599bc8,5c87a755504acf99a4dbf833,"BCEL_6_1
",58c1132de4f89451f51d73fa,2017-09-18 08:48:36,0.0
5c87a831e84e0032bb599c22,BCEL_6_2,5c87a831e84e0032bb599c20,5c87a755504acf99a4dbf833,"BCEL_6_2
",58bfd7a63cff546ccab42d4d,2017-12-08 19:13:53,0.0
5c87a832e84e0032bb599c2f,initial,5c87a832e84e0032bb599c2d,5c87a755504acf99a4dbf833,"initial
",58bfd7ac3cff546cd3b4315f,2011-07-22 09:26:16,0.0
5c87a832e84e0032bb599c3f,BCEL_6_3,5c87a832e84e0032bb599c3d,5c87a755504acf99a4dbf833,"BCEL_6_3
",58bfd7a63cff546ccab42d4d,2019-01-28 12:45:43,0.0
5c87a832e84e0032bb599c44,BCEL_6_0,5c87a832e84e0032bb599c42,5c87a755504acf99a4dbf833,"BCEL_6_0
",58c1132de4f89451f51d73fa,2016-07-14 11:32:57,0.0
5c87a83ee84e0032bb59a972,BCEL_5_1,5c87a83ee84e0032bb59a970,5c87a755504acf99a4dbf833,"BCEL_5_1
",58bfd7ac3cff546cd3b4315f,2011-07-22 09:26:16,0.0
5bed61cd65108826c57b0ef2,1.18,5bed61cd65108826c57b0eee,5bed61cc35e3ea2b7b2a1805,"RC1 has been accepted as Compress 1.18
-----BEGIN PGP SIGNATURE-----

iHEEABECADEWIQTOgHWiUVR77iSbwVGiEVrhX2uLcgUCW3UyFBMcYm9kZXdpZ0Bh
cGFjaGUub3JnAAoJEKIRWuFfa4tyECcAoKcrkFZwDz1/uQecV/eFaJwpPuQcAJ44
wUGe9sS3YWKEezqLXraTMrSghQ==
=r+Do
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2018-08-16 08:13:08,120.0
5bed61cf65108826cd7b0f07,1.17,5bed61cf65108826cd7b0f03,5bed61cc35e3ea2b7b2a1805,"Tag Commons Compress 1.17
-----BEGIN PGP SIGNATURE-----

iHEEABECADEWIQTOgHWiUVR77iSbwVGiEVrhX2uLcgUCWxPq6hMcYm9kZXdpZ0Bh
cGFjaGUub3JnAAoJEKIRWuFfa4tykrwAoK9WIH9IpQ/jiwKsF9+e+EH4zg+PAKC9
ffEbPyCaW9OetSdkcvUkTTcffg==
=IWtJ
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2018-06-03 13:19:38,120.0
5bed61d365108826cf7b0f4d,1.16.1,5bed61d365108826cf7b0f4b,5bed61cc35e3ea2b7b2a1805,"RC1 of 1.16.1 has been accepted
-----BEGIN PGP SIGNATURE-----

iFoEABECABoFAlp+sGQTHGJvZGV3aWdAYXBhY2hlLm9yZwAKCRCiEVrhX2uLcggW
AJ9bPScaih0k1RPli1jmiNqMLqWB1QCeNcedE+htp0SxFXngHEZc+/T+Xdw=
=59fb
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2018-02-10 08:42:12,60.0
5bed61d365108826d47b0f57,1.16,5bed61d365108826d47b0f53,5bed61cc35e3ea2b7b2a1805,"RC1 of Compress 1.16 has been accpted
-----BEGIN PGP SIGNATURE-----

iFoEABECABoFAlp4vFgTHGJvZGV3aWdAYXBhY2hlLm9yZwAKCRCiEVrhX2uLcg3N
AKDmSYxBXM6BdbWiJtBOV82hAfYr8gCfQRgGm5GdO/u4vZn4CKBcvqRoS4c=
=ODTc
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2018-02-05 20:19:36,60.0
5bed61da65108826c47b0fc8,1.15,5bed61da65108826c47b0fc4,5bed61cc35e3ea2b7b2a1805,"Create Commons Compress 1.15 release tag
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEYEABECAAYFAlnmFAIACgkQohFa4V9ri3IcQACgm+NHIbKzkEUnKJVeKaf3SA5x
k44An3DFikWcuWakYIoQZ2mgH9USeWKG
=m3uZ
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2017-10-17 14:30:26,120.0
5bed61df65108826c67b0fdb,1.14,5bed61df65108826c67b0fd9,5bed61cc35e3ea2b7b2a1805,"1.14 RC1 has been accepted
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEYEABECAAYFAlkYvYsACgkQohFa4V9ri3LcmQCfRMF6byIsvQeip0NksWyI8kIS
KFEAoKt17ntcQCJWRPRqYhrcmPJWdwqk
=+Ode
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2017-05-14 20:26:51,120.0
5bed61e465108826d67b10d6,1.13,5bed61e465108826d67b10d4,5bed61cc35e3ea2b7b2a1805,"Create Commons Compress 1.13 release tag
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEUEABECAAYFAlhlPlcACgkQohFa4V9ri3LstgCgqd7yyyMIAXI+O14GLE74Rz1h
hLoAl1n/iLST0WcDoG/suoj+kbUhEFs=
=FuIg
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2016-12-29 16:48:23,60.0
5bed61f065108826cd7b1131,1.12,5bed61ef65108826cd7b112d,5bed61cc35e3ea2b7b2a1805,"RC1 vote has been accepted
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEYEABECAAYFAldpk0EACgkQohFa4V9ri3LLqwCgpGO+ZBxfqdnT/HvazOCLThVH
BEsAoOGNKNG8p79GKWrbdFuv3TVE91Rn
=QsK8
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2016-06-21 19:19:29,120.0
5bed61f465108826d47b1117,1.11,5bed61f465108826d47b1111,5bed61cc35e3ea2b7b2a1805,"Tagging 1.11
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEYEABECAAYFAlcEiXwACgkQohFa4V9ri3JQcQCfZwUnwdffWGk6pI6GhppQCbI8
zMYAn2P4N5bDHlu3HG506y2RFKus4g/U
=9VPj
-----END PGP SIGNATURE-----
",58c11330e4f89451f51d7405,2016-04-06 03:58:52,120.0
5bed61f965108826d07b129b,COMPRESS-1.8.1,5bed61f965108826d07b1299,5bed61cc35e3ea2b7b2a1805,"COMPRESS-1.8.1
",58c11330e4f89451f51d7405,2014-05-14 11:16:26,0.0
5bed61f965108826c87b13ef,1.8,5bed61f965108826c87b13ed,5bed61cc35e3ea2b7b2a1805,"infra wants us to use tags under tags/rel
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEYEABECAAYFAlaWjrkACgkQohFa4V9ri3IC+ACeIntJHlcuFQYEiNq+UbaJeXcw
/2sAn0zNjD8wG7+ZLVDDt47ZiS5rEd44
=ohPs
-----END PGP SIGNATURE-----
",58c8db4902ca40f8bfbae091,2016-01-13 17:51:53,60.0
5bed61f965108826c87b13f1,COMPRESS-1.8,5bed61f965108826c87b13ed,5bed61cc35e3ea2b7b2a1805,"COMPRESS-1.8
",58c11330e4f89451f51d7405,2014-03-12 22:18:40,0.0
5bed61fa65108826c87b1426,1.7,5bed61fa65108826c87b1424,5bed61cc35e3ea2b7b2a1805,"infra wants us to use tags under tags/rel
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1

iEYEABECAAYFAlaWjq4ACgkQohFa4V9ri3KnZgCg14A70tYNrxgAGtYhfQZF8QXD
A74AnRUsQUMtXFmY80GzvpGyCSDvKm2J
=q7Pp
-----END PGP SIGNATURE-----
",58c8db4902ca40f8bfbae091,2016-01-13 17:51:42,60.0
